Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,Node_Cluster_ID
10737,2021-05-09,41.575135,2.553135,0.184,Manta net,Atlantic Ocean,Ocean water,Medium,-0.18338853,0.33254415,-0.8393701,1.7034725,0.7971015927871943,-0.6038452208771035,0.47203229189711354,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49
10757,2021-05-05,41.263153,1.963507,1.834667,Manta net,Atlantic Ocean,Ocean water,High,0.31249008,0.06302435,1.4134227,0.31091797,0.8367329140344921,-0.5476112038402312,0.9740917161572236,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32
10786,2021-04-25,41.403637,2.2193,2.192667,Manta net,Atlantic Ocean,Ocean water,High,0.06747116,-0.11340295,0.30029374,-0.6006463,0.9181214482844364,-0.39629913726891813,-0.32287329817708044,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3
10787,2021-05-08,41.403637,2.2193,0.754,Manta net,Atlantic Ocean,Ocean water,Medium,-0.25703123,-0.0715168,-1.1739314,-0.38422903,0.8073707443023492,-0.5900444739548627,0.6475488117410523,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3
10809,2021-04-14,41.397303,2.21315,0.177333,Manta net,Atlantic Ocean,Ocean water,Medium,-0.118887946,-0.022061905,-0.54634184,-0.12870556,0.9762766110869321,-0.21652708524481437,-0.45500080203735027,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10810,2021-04-17,41.397303,2.21315,2.855333,Manta net,Atlantic Ocean,Ocean water,High,0.45810196,-0.35700664,2.0749424,-1.8592975,0.9638074231367307,-0.26659942067929354,-0.8960005025572876,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10811,2021-05-04,41.397303,2.21315,3.239333,Manta net,Atlantic Ocean,Ocean water,High,0.1622443,-0.13486391,0.73085123,-0.7115308,0.8460288880917339,-0.533137056031809,0.9998820655202254,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10812,2021-05-08,41.397303,2.21315,2.733333,Manta net,Atlantic Ocean,Ocean water,High,-0.25703123,-0.0715168,-1.1739314,-0.38422903,0.8073707443023492,-0.5900444739548627,0.6475488117410523,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10813,2021-05-13,41.397303,2.21315,7.64,Manta net,Atlantic Ocean,Ocean water,High,-0.3882601,-0.34958255,-1.7701083,-1.8209387,0.753697664392914,-0.6572212950663319,-0.3517876776485592,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10814,2021-05-22,41.397303,2.21315,5.009333,Manta net,Atlantic Ocean,Ocean water,High,0.25629908,0.22680141,1.1581452,1.1571211,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68
10818,2021-04-23,41.465446,2.282388,1.280667,Manta net,Atlantic Ocean,Ocean water,High,-0.055707924,-0.046256453,-0.2593129,-0.25371394,0.9312100364121947,-0.3644830148102912,-0.6847795995801477,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44
10819,2021-05-22,41.465446,2.282388,2.916,Manta net,Atlantic Ocean,Ocean water,High,0.25629908,0.22680141,1.1581452,1.1571211,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44
10830,2021-04-11,41.849824,3.147244,0.953333,Manta net,Atlantic Ocean,Ocean water,Medium,-0.16834892,-0.024485426,-0.7710447,-0.14122741,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25
13783,2021-09-11,42.3425,6.501,0.262782,Manta net,Atlantic Ocean,Ocean water,Medium,0.24214819,-0.03599376,1.0938572,-0.20068863,-0.9417589340994617,-0.33628873017668287,-0.8258747936015726,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38
13784,2021-09-11,42.039,6.942333,0.614031,Manta net,Atlantic Ocean,Ocean water,Medium,0.24214819,-0.03599376,1.0938572,-0.20068863,-0.9417589340994617,-0.33628873017668287,-0.8258747936015726,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18
13785,2021-09-12,41.150333,7.9905,0.148626,Manta net,Atlantic Ocean,Ocean water,Medium,-0.09769044,-0.23141877,-0.45004085,-1.2104102,-0.9474042892438845,-0.32003923622313857,-0.9263185674879545,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18
13834,2021-05-27,28.615167,-72.5195,1.277268,Manta net,Atlantic Ocean,Ocean water,High,-0.0053873495,-0.09495973,-0.030704876,-0.5053539,0.5751899607119775,-0.8180198708443174,0.19538435698596257,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7
13836,2021-05-28,30.129333,-72.641167,1.093829,Manta net,Atlantic Ocean,Ocean water,High,-0.10450958,0.006986086,-0.48102042,0.021379553,0.5610336262283677,-0.8277930117131022,0.39807553964149395,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21
13847,2021-06-26,53.974833,-41.6575,0.030401,Manta net,Atlantic Ocean,Ocean water,Medium,0.03403995,-0.07135298,0.14841466,-0.38338262,0.0966127018812031,-0.9953220513156602,0.29219873202182445,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17
13854,2021-09-07,52.125667,-39.173667,0.03114,Manta net,Atlantic Ocean,Ocean water,Medium,0.30672148,0.37056276,1.3872159,1.899907,-0.9164086366943458,-0.4002439388573056,-0.12038439923142533,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17
13856,2021-04-02,38.585167,0.588667,0.22866,Manta net,Atlantic Ocean,Ocean water,Medium,-0.23528422,-0.14747769,-1.0751339,-0.7767036,0.9999300657962057,-0.011826390691832589,0.8727176644547883,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24
13868,2021-09-23,38.3725,15.758167,2.019273,Manta net,Atlantic Ocean,Ocean water,High,0.15893115,-0.009223719,0.71579945,-0.062373243,-0.9906923101615609,-0.13612033862266704,0.37406063376349147,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9
13877,2021-06-07,64.328167,-22.139667,0.649773,Manta net,Atlantic Ocean,Ocean water,Medium,-0.00059759145,0.00082233717,-0.008944849,-0.010467296,0.4110537546870351,-0.9116111071930239,0.5683405391998784,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10
14342,2021-01-06,60.432333,1.321667,0.029562,Neuston net,Atlantic Ocean,Ocean water,Medium,3.6091205e-05,0.19220164,-0.0060660066,0.97835106,0.10303137904317879,0.9946781061893646,0.9991434504931119,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12
