Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
10819,2021-05-22,41.465446,2.282388,2.916,Manta net,Atlantic Ocean,Ocean water,High,0.27867764,0.24645817,1.2598118,1.2586836,0.6433365204044917,-0.765583517007675,-0.7625166540680969,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,14
10830,2021-04-11,41.849824,3.147244,0.953333,Manta net,Atlantic Ocean,Ocean water,Medium,-0.1210852,0.06486097,-0.556324,0.32040742,0.986146248341595,-0.16587819893463143,0.1651725793753527,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01342814415693283,-0.024414807558059692,4
13784,2021-09-11,42.039,6.942333,0.614031,Manta net,Atlantic Ocean,Ocean water,Medium,0.24214819,-0.03599376,1.0938572,-0.20068863,-0.9417589340994617,-0.33628873017668287,-0.8258747936015726,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02929776906967163,-0.005493331700563431,10
13854,2021-09-07,52.125667,-39.173667,0.03114,Manta net,Atlantic Ocean,Ocean water,Medium,0.30672148,0.37056276,1.3872159,1.899907,-0.9164086366943458,-0.4002439388573056,-0.12038439923142533,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01342814415693283,-0.3741569258272648,8
13856,2021-04-02,38.585167,0.588667,0.22866,Manta net,Atlantic Ocean,Ocean water,Medium,-0.23528422,-0.14747769,-1.0751339,-0.7767036,0.9999300657962057,-0.011826390691832589,0.8727176644547883,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25940733030438423,-0.02868739888072014,12
13877,2021-06-07,64.328167,-22.139667,0.649773,Manta net,Atlantic Ocean,Ocean water,Medium,0.09195369,-0.038840767,0.41151866,-0.21539855,0.4110537546870351,-0.9116111071930239,0.5683405391998784,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.014038514345884323,0.016479995101690292,5
14342,2021-01-06,60.432333,1.321667,0.029562,Neuston net,Atlantic Ocean,Ocean water,Medium,3.6091205e-05,0.19220164,-0.0060660066,0.97835106,0.10303137904317879,0.9946781061893646,0.9991434504931119,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.031128879636526108,0.0006103701889514923,16
14350,2021-01-12,56.724833,-6.3945,0.054027,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.022583696991205215,-0.03723258152604103,9
14351,2021-01-12,56.5545,-6.550167,0.021947,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.04699850454926491,-0.051271095871925354,33
14352,2021-01-12,56.481167,-6.682667,0.028302,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.06958220154047012,0.01892147585749626,32
14353,2021-01-12,56.385,-6.797,0.009662,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.062257759273052216,-0.0238044373691082,23
14354,2021-01-12,56.3265,-6.715167,0.127074,Neuston net,Atlantic Ocean,Ocean water,Medium,-0.00035465378,1.7985244e-10,-0.0078411745,-0.014716145,0.20496611396949532,0.9787690698649216,0.2501077677874785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.006103701889514923,-0.006714072078466415,23
14834,2021-02-25,52.21253,-12.49151,16.8,Day grab,Atlantic Ocean,Ocean sediment,Low,0.106378436,0.25746357,0.47705075,1.3155463,0.8211001178128892,0.5707841943569036,-0.31052627435345226,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.014038514345884323,0.021973326802253723,1
14835,2021-02-27,52.5205,-13.4998,30.6,Day grab,Atlantic Ocean,Ocean sediment,Medium,-0.051590618,-0.025071513,-0.24060784,-0.1442556,0.8402480696078469,0.5422021592729844,0.10957034093503049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0238044373691082,0.0238044373691082,7
19155,2021-02-27,43.0689,-124.4373,23.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,Medium,-0.20868911,-0.38723174,-0.95431143,-2.0154645,0.8402480696078469,0.5422021592729844,0.10957034093503049,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.08667256683111191,-0.2215643785893917,24
19156,2021-02-27,43.2508,-124.3876,101.0,Hand picking,Pacific Ocean,Beach-Nurdle Patrol,High,-0.3575457,-0.20838189,-1.6305718,-1.0913833,0.8402480696078469,0.5422021592729844,0.10957034093503049,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.14526810497045517,-0.27466658502817154,2
19563,2021-05-24,29.3338,-94.7437,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.5176959,-0.18553083,-2.3581395,-0.9733165,0.6166212130956382,-0.7872599821916922,-0.4274378371837042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10925626382231712,-0.14709921553730965,25
19564,2021-05-24,29.3338,-94.7436,25.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.5176959,-0.18553083,-2.3581395,-0.9733165,0.6166212130956382,-0.7872599821916922,-0.4274378371837042,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10925626382231712,-0.14709921553730965,25
