Model,Protocol,Silhouette Score,Davies-Bouldin,Calinski-Harabasz,PPA (%),MAPE (%),F1-Score,NSE,RMSE,MAE,R^2,Adj R^2,p-Value,Training Time (Hours)
SOTA EPD-PINN (Ours),15km,0.8714394656475791,0.18416017720496614,72286.17654475842,0.0,233206.03545779153,0.0,-4.23308578152874,0.21979836888547122,0.21481519984000003,-4.23308578152874,-4.23308578152874,0.1358,0.05
ADE,15km,0.8714394656475791,0.18416017720496614,72286.17654475842,0.0,180.06731216489084,0.0,0.1150760774226034,0.8009179242085795,0.6783416980476189,0.1150760774226034,0.0696953634442753,0.0624,0.0003333333333333333
LSTM,15km,0.8714394656475791,0.18416017720496614,72286.17654475842,19.047619047619047,91.79817957573752,0.32,0.740196190917816,0.41546860630063204,0.3176284433571428,0.740196190917816,0.7268729186571912,0.0949,0.0003333333333333333
CNN-LSTM,15km,0.8714394656475791,0.18416017720496614,72286.17654475842,9.523809523809524,123.38527647495599,0.17391304347826086,0.5790630332204976,0.5036753770926148,0.4173273955,0.5790630332204976,0.5574765221036,0.5583,0.0003333333333333333
GraphSAGE,15km,0.8714394656475791,0.18416017720496614,72286.17654475842,19.047619047619047,118.57746192773351,0.32,0.6334405101680363,0.46964533583603085,0.36437655460476187,0.6334405101680363,0.614642587612551,0.7928,0.0003333333333333333
ST-GCN,15km,0.8714394656475791,0.18416017720496614,72286.17654475842,19.047619047619047,1048.7282078025387,0.32,0.6864733015191287,0.43242779496425787,0.35945994777619045,0.6864733015191287,0.6703950092893405,0.1954,0.0003333333333333333
SOTA EPD-PINN (Ours),50km,0.6879779749848698,0.7258713831560217,11743.943432704255,87.5,64175157531471.055,0.9333333333333333,0.29582450111364456,0.1429228922235657,0.09416858181125001,0.29582450111364456,0.24726067360424064,0.8702,0.05
ADE,50km,0.6879779749848698,0.7258713831560217,11743.943432704255,14.285714285714285,716.3964149395293,0.25,-0.07123003301283459,0.9781569958851105,0.7383741402499998,-0.07123003301283459,-0.11165380784350765,0.0570,0.0003333333333333333
LSTM,50km,0.6879779749848698,0.7258713831560217,11743.943432704255,17.857142857142858,354.3829664498229,0.30303030303030304,0.723084330101697,0.6369384383089428,0.4589304732946428,0.723084330101697,0.7126346821810063,0.9345,0.0003333333333333333
CNN-LSTM,50km,0.6879779749848698,0.7258713831560217,11743.943432704255,10.714285714285714,538.7276772863783,0.1935483870967742,0.5962218828146668,0.6302632681335127,0.4976876137232143,0.5962218828146668,0.5809849727322014,0.0915,0.0003333333333333333
GraphSAGE,50km,0.6879779749848698,0.7258713831560217,11743.943432704255,7.142857142857142,709.0861823318924,0.13333333333333333,0.6366377402095313,0.6443872086162292,0.4747821857607143,0.6366377402095313,0.6229259568212118,0.6836,0.0003333333333333333
ST-GCN,50km,0.6879779749848698,0.7258713831560217,11743.943432704255,14.285714285714285,759.4167272689242,0.25,0.5045590546281633,0.6315267931107109,0.4607291438660714,0.5045590546281633,0.4858631698971506,0.3108,0.0003333333333333333
SOTA EPD-PINN (Ours),100km,0.8424135798071363,0.6793723974554527,11601.212909801767,84.05797101449275,341.636928236733,0.9133858267716536,0.15710049432989226,0.17176457859012093,0.11877657228840581,0.15710049432989226,0.14461309424589075,0.3934,0.05
ADE,100km,0.8424135798071363,0.6793723974554527,11601.212909801767,5.263157894736842,172.23130238140928,0.1,-0.014665056888413464,1.0908402043948255,0.836955359013158,-0.014665056888413464,-0.04246409954289043,0.9715,0.0003333333333333333
