Protocol_km,Model,RMSE_ms,MAE_ms,Mean_24hr_Drift_Error_km,R2,R2_Warning
15,ADE,0.2378,0.2108,35.56,-3.7319,below_mean_baseline
15,CNN-LSTM,0.2372,0.2087,35.0,-3.7073,below_mean_baseline
15,GraphSAGE,0.3916,0.2749,47.71,-11.8347,below_mean_baseline
15,LSTM,0.2407,0.2121,35.79,-3.8484,below_mean_baseline
15,MorphoPINN,0.3318,0.2672,39.15,-8.21,below_mean_baseline
15,ST-GCN,0.6145,0.5599,92.11,-30.6006,below_mean_baseline
50,ADE,0.1435,0.077,12.85,0.0105,
50,CNN-LSTM,0.1177,0.0799,15.11,0.3339,
50,GraphSAGE,0.1236,0.0793,14.17,0.2659,
50,LSTM,0.1318,0.0929,17.38,0.165,
50,MorphoPINN,0.1305,0.0749,10.62,0.182,
50,ST-GCN,0.1382,0.085,16.16,0.0816,
100,ADE,0.1475,0.1159,20.26,-0.0334,below_mean_baseline
100,CNN-LSTM,0.1124,0.0673,12.38,0.3998,
100,GraphSAGE,0.1363,0.078,14.05,0.1181,
100,LSTM,0.1215,0.0897,15.44,0.2997,
100,MorphoPINN,0.1288,0.096,13.18,0.2129,
100,ST-GCN,0.1339,0.0971,17.18,0.1492,
150,ADE,0.194,0.1452,25.2,-0.0612,below_mean_baseline
150,CNN-LSTM,0.1623,0.0923,15.98,0.257,
150,GraphSAGE,0.1505,0.1062,18.19,0.3611,
150,LSTM,0.1565,0.109,18.58,0.3092,
150,MorphoPINN,0.1614,0.1146,15.37,0.2654,
150,ST-GCN,0.1763,0.1173,20.41,0.1239,
200,ADE,0.2107,0.1639,28.16,-0.0408,below_mean_baseline
200,CNN-LSTM,0.161,0.1008,17.68,0.392,
200,GraphSAGE,0.1843,0.1349,23.43,0.2038,
200,LSTM,0.1694,0.1273,21.88,0.3273,
200,MorphoPINN,0.1839,0.1377,18.7,0.2067,
200,ST-GCN,0.1868,0.137,23.73,0.1817,
