antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,fisher_p_value
frozenset({'Setting_Ocean sediment'}),frozenset({'Method_Day grab'}),0.013513513513513514,0.013513513513513514,0.013513513513513514,1.0,74.0,1.0,0.013330898466033601,inf,0.9999999999999999,1.0,1.0,1.0,9.192866335723479e-05
frozenset({'Method_Day grab'}),frozenset({'Setting_Ocean sediment'}),0.013513513513513514,0.013513513513513514,0.013513513513513514,1.0,74.0,1.0,0.013330898466033601,inf,0.9999999999999999,1.0,1.0,1.0,9.192866335723479e-05
frozenset({'Method_Manta net'}),"frozenset({'Setting_Ocean water', 'Class_Very High'})",0.20270270270270271,0.013513513513513514,0.013513513513513514,0.06666666666666667,4.933333333333333,1.0,0.01077428780131483,1.056949806949807,1.0,0.06666666666666667,0.053881278538812784,0.5333333333333333,0.03998896856039713
"frozenset({'Setting_Ocean water', 'Class_Very High'})",frozenset({'Method_Manta net'}),0.013513513513513514,0.20270270270270271,0.013513513513513514,1.0,4.933333333333333,1.0,0.01077428780131483,inf,0.8082191780821917,0.06666666666666667,1.0,0.5333333333333333,0.039988968560397124
"frozenset({'Class_High', 'Setting_Ocean water'})",frozenset({'Method_Manta net'}),0.04054054054054054,0.20270270270270271,0.033783783783783786,0.8333333333333334,4.111111111111111,1.0,0.02556610664718773,4.783783783783784,0.7887323943661971,0.16129032258064516,0.7909604519774012,0.5,0.001321660568235911
frozenset({'Method_Manta net'}),"frozenset({'Class_High', 'Setting_Ocean water'})",0.20270270270270271,0.04054054054054054,0.033783783783783786,0.16666666666666666,4.111111111111111,1.0,0.02556610664718773,1.1513513513513514,0.9491525423728814,0.16129032258064516,0.13145539906103285,0.5,0.0013216605682359107
"frozenset({'Setting_Ocean water', 'Class_Medium'})",frozenset({'Method_Neuston net'}),0.22972972972972974,0.06756756756756757,0.060810810810810814,0.2647058823529412,3.9176470588235293,1.0,0.045288531775018265,1.268108108108108,0.9668615984405458,0.2571428571428571,0.2114236999147485,0.5823529411764706,6.000619926380025e-06
frozenset({'Method_Neuston net'}),"frozenset({'Setting_Ocean water', 'Class_Medium'})",0.06756756756756757,0.22972972972972974,0.060810810810810814,0.9,3.9176470588235293,1.0,0.045288531775018265,7.702702702702704,0.7987117552334944,0.2571428571428571,0.8701754385964913,0.5823529411764706,6.000619926380023e-06
frozenset({'Setting_Ocean water'}),"frozenset({'Method_Neuston net', 'Class_Medium'})",0.2905405405405405,0.060810810810810814,0.060810810810810814,0.2093023255813954,3.4418604651162794,1.0,0.0431428049671293,1.187798092209857,1.0000000000000002,0.2093023255813954,0.15810607328091023,0.6046511627906976,7.69747232978727e-06
"frozenset({'Method_Manta net', 'Class_Medium'})",frozenset({'Setting_Ocean water'}),0.1554054054054054,0.2905405405405405,0.1554054054054054,1.0,3.4418604651162794,1.0,0.11025383491599708,inf,0.8400000000000001,0.5348837209302325,1.0,0.7674418604651163,8.506356273826879e-16
