Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
1.4083155,1.8755314,1.6553569,2.0333793,32.635063
1.3667392e-05,0.9640431,-0.069983564,0.98014677,7.995644
-0.0017806368,-0.018175213,-0.11856931,-0.10317457,16.079666
-0.0017806368,-0.018175213,-0.11856932,-0.10317457,16.079668
-0.0017806368,-0.018175213,-0.11856931,-0.10317457,16.079666
-0.0017806368,-0.018175213,-0.11856932,-0.10317457,16.079668
-0.23705661,-0.14629951,-1.1170956,-0.32330915,99.92798
-3.7203414,-0.87085706,-3.8258307,-0.90243125,12.257799
-0.5358143,0.91430235,-0.21233118,0.612165,49.274452
1.7185248,-0.37665367,1.6718721,-0.35648468,5.657926
1.7185248,-0.37665367,1.6244395,-0.30337688,13.275365
0.720204,0.514186,0.5607638,0.36614853,24.219786
-1.001209,0.112370975,-0.5321285,0.08299421,52.32034
-0.37090737,-0.4998532,-0.11856931,-0.10317457,52.335606
-1.3006272,1.0471963,0.5607638,0.36614853,220.64406
-0.19492573,-0.63642114,-0.11856932,-0.10317457,59.966484
1.7489032,-0.24619976,1.6491925,-0.32996866,14.497033
0.28764698,0.18374963,0.5607638,0.36614853,36.56013
-1.209461,-0.94504744,-1.1173549,-0.32351786,69.94428
-0.3023064,-0.72032577,1.6492314,-0.33001414,221.54758
0.020436944,0.8621129,-0.23728162,0.6423687,37.702225
-1.0678903,-0.45374233,-0.5321286,0.082994185,84.42187
-0.5983172,0.53474754,-0.5321286,0.08299421,50.826084
-0.30281004,-0.28835857,-0.11856931,-0.10317457,29.079409
-1.1146659,0.2610846,-0.06998358,0.98014677,141.17955
1.5455321,0.16151677,0.5607638,0.36614853,111.96616
0.034062594,-1.0334071,-0.11856932,-0.10317457,104.938156
-2.5566454,0.26268968,-0.21233502,0.61216927,263.8525
-5.393687,-0.09726906,-3.8258312,-0.90243125,196.20312
1.3683219,-0.10893892,1.6719737,-0.3566033,43.62012
-1.7885803,0.6553972,-0.23738486,0.6424973,172.68506
0.6529567,0.16247284,-0.11856932,-0.10317457,90.83473
3.6191292,-0.3036884,1.6244748,-0.3034108,222.04492
1.6669837,2.7986953,1.6553569,2.0333793,85.20481
-1.5327429,0.44531015,-0.11856932,-0.10317457,168.85164
0.6259749,1.657527,-0.069983564,0.98014677,108.11242
1.6602994,1.372664,-0.06998355,0.98014677,197.50908
-0.44759586,-0.8437616,-0.11856931,-0.10317457,90.212326
-4.4994507,-1.1322429,-3.8258312,-0.90243125,79.23111
-0.5604435,-0.57558376,-0.11856931,-0.10317457,72.008064
-1.581081,-0.18922879,-1.1168504,-0.32311177,53.784355
0.18031216,0.19248231,-0.5321286,0.08299421,80.239975
1.9554776,-0.80776566,1.624466,-0.30340233,67.157524
-0.11482683,-0.19967361,-0.5321286,0.08299418,56.10813
-0.7883821,1.2760503,-0.06998358,0.98014677,86.490364
0.9881859,0.012090774,0.5607638,0.36614853,61.78476
-0.73756874,1.5960906,-0.23723453,0.6423098,119.896965
-4.030542,-1.9008535,-3.8258312,-0.90243125,113.45651
1.383619,-0.5158105,0.5607638,0.36614853,134.27528
-0.083434425,-0.10725889,-0.11856934,-0.10317457,3.9375565
2.3028162,-0.86138755,1.6719509,-0.3565766,89.94387
3.0729907,1.3669996,1.6553569,2.0333793,174.37657
-2.6051373,-1.4449456,-3.8258312,-0.90243125,148.70349
2.0922346,1.8697162,1.6553569,2.0333793,51.933823
1.1282991,-0.060343474,1.6492443,-0.33002934,65.30171
-1.4238875,-0.31091896,-0.11856931,-0.10317457,147.13681
-0.03997918,-0.55916864,-0.11856932,-0.10317457,51.509655
0.52659035,-0.012060765,-0.069983564,0.98014677,128.88031
-0.61291015,1.7394661,-0.069983564,0.98014677,103.912025
-4.96009,-0.49132475,-3.8258312,-0.90243125,134.3034
2.8796806,0.48222533,1.6492338,-0.33001673,164.12573
1.3795625,2.4894416,1.6553569,2.0333793,59.330048
-1.3006272,-0.10707914,0.5607638,0.36614853,213.80168
0.56275797,-0.044626568,-0.53212863,0.08299419,122.70795
-0.2888791,-0.5967755,-0.11856932,-0.10317457,58.126446
-0.47522458,-0.33010083,-0.11856931,-0.10317457,47.05802
1.9931403,0.54620105,0.5607638,0.36614853,160.70697
1.0405637,-0.45611694,1.6492232,-0.33000457,69.19509
-0.18442354,-0.13892521,1.6492469,-0.33003244,205.22981
-1.3460636,0.14589402,-0.53212863,0.08299419,90.87739
0.27326927,-0.45463037,1.6245053,-0.30344033,151.35825
-0.11976636,0.717356,-0.11856931,-0.10317457,91.34156
0.921807,0.57119906,-0.11856931,-0.10317457,138.01717
2.2174714,0.74687696,0.5607638,0.36614853,189.23203
0.009337721,0.8826379,-0.06998358,0.98014677,13.992638
0.32139063,0.34531254,-0.11856932,-0.10317457,69.93744
-2.7848473,-1.1560704,-3.8258312,-0.90243125,119.27253
-4.0696177,-0.8583845,-3.8258312,-0.90243125,27.57772
0.60700506,0.036409337,0.5607637,0.36614853,37.065746
1.3722458,-0.35437384,-0.11856931,-0.10317457,168.29695
0.049948636,0.8804975,-0.11856931,-0.10317457,111.09764
2.5713172,-0.3016064,1.5969796,-0.2768761,108.49819
1.2538421,0.80749214,-0.11856932,-0.10317457,183.35141
0.0073761186,0.12984547,-0.06998358,0.98014677,95.04647
-0.5416362,0.5124025,0.5607638,0.36614853,123.79445
-0.565851,-0.3049351,-0.11856932,-0.10317457,54.622646
-0.7047835,-0.41244182,-0.11856932,-0.10317455,73.78201
-2.1136634,-0.9086174,-1.1178352,-0.3239045,128.55234
-2.8528697,0.21184772,-0.5321285,0.08299413,258.74283
1.3421209,2.237926,1.6553569,2.0333793,41.645607
0.44747624,-0.19184548,-0.53212863,0.08299421,113.26024
-0.22639735,-0.026243139,-0.11856932,-0.10317457,14.745312
0.0012088126,0.9549119,0.5607638,0.36614853,90.41926
-0.48060167,-0.18437904,-1.1179888,-0.32402822,72.63699
2.020845,1.6052645,-0.06998355,0.98014677,242.93115
-0.5441218,0.53798515,-0.11856932,-0.10317457,85.66439
0.8031212,0.09364163,-0.11856931,-0.10317457,104.91578
-1.0154886,0.7531345,-0.06998358,0.98014677,108.24485
