Actual_E_ms,Actual_N_ms,Pred_E_ms,Pred_N_ms,Error_KM_24h
0.10637844,0.25746357,0.054959513,0.0017490499,22.535967
-0.051590618,-0.025071511,0.03830906,-0.0047189333,7.963896
-0.7255493,-0.3096997,-0.13811666,-0.0790482,54.526356
-0.17097259,-0.25689468,-0.12273626,-0.06262318,17.294716
-0.120360106,-0.025954992,-0.10683964,-0.09748578,6.2896924
-0.111092374,-0.10778919,-0.11944151,-0.061793,4.0390105
-0.120360106,-0.025954992,-0.10683125,-0.09748268,6.289564
-0.120360106,-0.025954992,-0.106837645,-0.097485095,6.289667
-0.120360106,-0.025954992,-0.10683898,-0.09748545,6.2896757
-0.120360106,-0.025954992,-0.10684098,-0.09748633,6.2897177
-0.120360106,-0.025954992,-0.10683898,-0.09748545,6.2896757
-0.120360106,-0.025954992,-0.10683836,-0.0974852,6.2896643
-0.120360106,-0.025954992,-0.10683898,-0.09748545,6.2896757
-0.120360106,-0.025954992,-0.10683964,-0.09748578,6.2896924
-0.120360106,-0.025954992,-0.10683898,-0.09748545,6.2896757
-0.120360106,-0.025954992,-0.10683769,-0.09748492,6.2896504
-0.08032694,-0.08790241,-0.1259453,-0.053420726,4.9407067
