Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
-0.9688345,-0.8226589,-0.98019147,-0.71265143,12.311117
-0.20540461,1.6507294,-0.42333728,1.7171557,25.36218
-1.0751339,-0.7767036,-0.9814381,-1.0196627,28.987703
-1.4149796,-0.9664257,-1.0933647,-1.0574155,37.20741
-0.99661034,0.11727196,-1.2205557,-0.22141148,45.198933
0.21444555,0.9601932,0.08115405,0.434159,60.408787
-0.46334392,0.30772248,-0.0062349737,0.62236404,61.774868
0.11763369,0.38134435,0.15808578,1.082298,78.159996
-1.0757622,-0.27312052,-1.3589487,-1.1318448,100.65704
-0.85853755,-0.8938117,-0.8881079,-0.41364533,53.553387
-0.9566784,0.8001814,-2.0727832,0.21209082,140.43716
-1.1742169,-0.25175157,-1.269144,-1.2572582,112.43071
-0.31184667,-0.032787066,2.0898955,-0.5035768,272.45007
-0.7890107,-0.36636144,-0.8596259,-0.44363144,11.652581
-1.1529671,-1.3600435,-0.8606163,-0.7269977,77.622536
-0.7960333,-0.20803055,-0.71172297,-0.8785749,75.23273
-1.1921836,1.4408214,-1.6313391,1.3629477,49.64945
-2.0211763,-1.6390002,-1.6229643,-0.85294956,98.09107
-1.2076517,-1.2765505,-0.9511683,-0.6838626,71.89089
-0.19054367,-1.3913324,-0.09050551,-0.57111734,91.98295
-2.9004228,-0.90449625,-1.2205557,-0.22141148,201.87195
-1.6668957,-0.5282468,-0.8606163,-0.7269977,92.44176
-0.29816428,2.5201411,-0.42333728,1.7171557,90.46788
0.49959257,-1.0112952,-0.47899848,-0.0016490631,156.52344
-1.1796284,2.2375073,-0.42333728,1.7171557,102.19285
-1.1554227,-0.5332077,-0.97481084,-0.76045674,32.314022
-1.2277132,-1.455529,-0.43356532,-0.75800425,117.66328
1.2299025,0.3255524,-0.09050551,-0.57111734,177.6764
0.54326785,-0.2741069,0.961801,-0.522876,54.199932
0.1215311,0.041799266,0.94087917,1.2094464,158.7913
-1.5519701,-1.1412822,-0.43356532,-0.75800425,131.60884
0.5685627,0.12787114,0.70911723,0.095238715,16.06269
-2.3021505,-0.8035386,-0.8709087,-0.43943927,164.40051
-0.5997515,-0.9371471,0.08945833,0.5018785,177.61751
-1.9298564,-1.6773304,-1.3424937,-1.0426629,96.26431
0.40648684,-1.1337337,-1.1526849,-0.5786069,184.2399
-0.77932096,2.241007,0.1321104,0.9901257,172.29128
-1.6772126,-1.715235,-0.9511683,-0.6838626,140.40755
