Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
-0.9688345,-0.8226589,-0.75893617,-0.86164165,23.765446
-1.6305718,-1.0913833,-1.2369374,-0.011768192,127.92198
1.6941166,-0.3771541,-0.13940541,0.1409246,212.09917
0.11763369,0.38134435,0.20724775,0.6662799,33.250774
-2.3581395,-0.9733165,-2.105847,-1.4462146,59.66629
0.61026025,-1.5475411,-0.18231438,-0.5200745,144.45297
-1.4149796,-0.9664257,-0.72600603,-0.93966234,76.75438
-0.7115284,-0.49973398,-0.6499185,-0.7558495,29.324091
-0.99661034,0.11727196,-0.6980951,-0.08210488,39.96101
0.44941616,0.45170355,0.12147404,-2.8662436,371.15363
-0.92512304,-0.4725959,-0.5756114,-0.5265603,39.368668
-0.20540461,1.6507294,-0.18856624,1.9717219,35.782013
1.1606917,-0.46116647,0.16595094,-0.4026658,110.92587
-0.5530299,-0.14882037,-0.515248,-0.5861598,48.865963
-0.0078411745,-0.014716145,-0.035667464,0.15014169,18.61156
0.11763369,0.38134435,0.20724775,0.6662799,33.250774
-1.166933,-0.84039515,-0.7543746,-0.6479541,50.676636
-0.85853755,-0.8938117,-0.65726817,-0.5793735,41.55991
-1.2061489,-1.2159822,-0.93147635,-0.7554159,59.69558
-0.5530299,-0.14882037,-1.1396754,-0.76499474,94.70864
-0.31184667,-0.032787066,-2.341331,-2.3131444,339.82397
-0.53894687,-1.4732175,-1.2240381,-0.6075051,122.89688
-0.8687812,1.6674503,0.030170098,1.9010302,103.394226
-0.19054367,-1.3913324,-0.19718282,-0.5096375,98.15305
0.82786494,0.15143074,-0.7925768,-0.43891874,191.98566
-0.07381805,1.6244544,0.20724775,0.6662799,111.15826
-1.1796284,2.2375073,-0.18856645,1.9717221,114.22352
-0.42458647,1.9233531,-0.90720004,1.478883,73.03724
-0.89232963,-2.3408084,-1.6040784,-0.7805668,190.90456
0.54326785,-0.2741069,0.16595079,-0.40266588,44.374054
-0.8700346,-0.66373897,-0.85072756,-0.73911846,8.662119
1.3250715,-0.03569844,0.16595079,-0.40266588,135.34543
-1.9298564,-1.6773304,-1.1428583,-0.77053785,133.65999
-0.45066383,0.46649,-0.035667464,0.15014169,58.089233
-1.3522385,-0.9278049,-1.5793091,-0.8552997,26.534832
-0.33051008,-0.17482503,-2.171552,-0.5650408,209.49771
2.2368994,0.49453706,1.226338,0.5815772,112.91219
0.43180826,-0.5017299,0.543297,-0.59607565,16.258383
