Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
0.5376279,-0.56921196,-0.29188046,1.532918,251.56927
-0.030704876,-0.5053539,-1.014996,-0.5747019,109.84291
-0.37178376,0.48319283,-0.795736,-0.26392567,95.6265
1.0938572,-0.20068863,-0.36805055,-0.5075448,166.28595
-0.3932432,-0.71268827,-0.49277294,-0.6662324,12.227131
0.66231585,0.5449847,1.0646718,-0.75901383,151.91417
0.44904625,-0.35170448,-0.048707657,0.68657684,128.17699
-0.6787595,0.45919666,-0.820357,1.0794836,70.826614
-0.43254593,-0.15480895,0.37503538,-0.76034325,112.36481
-2.4110053,0.6289859,1.624058,1.2057507,453.74875
-1.1646949,-3.4637737,-0.14622712,1.4038346,553.5961
0.35146996,-2.228784,-0.42516014,0.72384566,339.86667
-0.90793157,-0.65586406,-1.3417673,-1.0026747,61.829323
-0.20540461,1.6507294,0.19573548,0.94105047,90.74851
-0.28355816,-0.5003018,-0.70430213,0.08548843,80.28755
-0.8705646,-0.55820376,-0.56036985,-0.5474309,34.551693
0.74632716,0.49316886,-0.817504,0.26365972,175.95049
-0.1758651,-0.5370567,1.1085056,-0.91724694,149.10867
0.0966431,-0.6598674,-0.244111,-0.606876,38.38869
0.8140352,-0.8293689,1.051501,-0.9209759,28.333485
-1.4690392,-1.0543865,-1.8251889,-0.19387302,103.67269
-1.8007389,-0.316562,-1.5791801,-0.2575993,25.522379
-0.72057915,-1.214614,0.19648823,-0.74467623,114.71115
-1.4984167,0.6997905,-0.41568428,0.5288448,122.02277
0.105227225,1.062252,0.65291065,1.2079682,63.089115
0.12364355,2.1608655,-0.2782335,1.374711,98.28642
-1.1234643,-0.46548703,-0.8868836,-0.6676886,34.644657
-0.041015744,-0.90247786,0.17273274,-0.39788702,61.00299
-0.43231493,1.402356,-0.87314564,0.29371792,132.81227
-0.764992,1.1950526,-0.820357,1.0794836,14.265248
0.70222837,0.33201534,-0.41568428,0.5288448,126.36024
0.20323089,-0.7465383,0.12142793,-1.0595312,36.01272
-0.5702429,-0.059288327,0.021168657,-0.90315175,114.712166
-0.4646324,0.16201241,-0.795736,-0.26392567,60.056374
-0.72972363,-0.30892062,-1.2174752,-0.5398545,60.07486
-1.1151831,-1.635839,0.021168657,-0.90315175,150.51378
-2.9320083,0.4842679,1.624058,1.2057507,513.50116
0.8069096,0.0047882586,-0.258864,-1.0238703,164.88937
-1.3579158,-0.19791609,-0.87314564,0.29371792,76.85967
0.2567888,-1.1850817,-0.85427004,-0.3949214,151.77145
