Actual_E,Actual_N,Pred_E,Pred_N,Error_KM
-0.57219106,-0.24825527,-0.4890961,-0.5198112,31.613195
-3.3024242,-1.6148723,-3.534847,-1.5490639,26.890432
0.7064432,0.5235252,0.8801336,0.24294399,36.734615
-0.5109263,-0.57164115,-0.8770867,-0.6228508,41.157677
-0.0078411745,-0.014716145,-0.03005217,0.29199773,34.2328
-0.7838945,-0.64095515,-0.59089786,-0.35341448,38.550705
-0.63636225,-0.37185943,-0.66501427,-0.45114785,9.385004
-1.602341,0.042712003,-0.8002308,-0.5659661,112.08935
0.66192025,0.012031155,0.1287538,1.0502422,129.92282
0.002143322,-0.298967,-0.46212918,-0.61818045,62.720318
-2.7522726,-1.6849884,-3.534847,-1.5490639,88.42047
-0.14922948,-0.12484011,-0.4499451,-0.65177464,67.5383
-0.9481795,0.09867977,-0.47560364,-0.58116895,92.16881
0.6978907,-0.07924136,-0.44660342,-0.66031843,142.8855
-0.37692004,-0.6094325,-0.8460199,-0.5998532,52.231087
-0.5961523,-0.12172175,-0.80132455,-0.5667669,54.55371
-1.0891373,-0.6728563,-0.45958054,-0.5078779,72.44868
-0.9474676,0.64627576,-0.030052051,0.2919975,109.47712
-2.262319,-0.33127776,-0.59039927,-0.32651117,186.11887
-0.053522225,-0.19863051,-1.104579,-0.7195664,130.58621
0.102577694,-1.1783997,-0.4934954,-0.53484434,97.64906
-1.2525117,-1.4647729,-1.290813,-1.59371,14.973155
-1.3492913,-0.803345,-1.4117832,-0.91465235,14.210013
0.48789176,-0.8041474,-0.80132455,-0.5667669,145.92809
0.8610303,1.5855637,-0.40279663,0.95652014,157.1527
-0.040368382,-0.3105822,-0.16281234,-0.39475965,16.540808
0.92595464,-0.2595619,1.4164749,1.8960679,246.09903
0.5291527,0.7725959,0.31417584,0.31517303,56.2635
